sku,date,total_sold_qty
Product 1,1/31/2026,2
Product 2,1/31/2026,1
Product 3,1/31/2026,1
Product 4,1/31/2026,1
Product 5,1/31/2026,1
Product 6,1/31/2026,3
Product 7,1/31/2026,1
Product 8,1/31/2026,1
Product 9,1/31/2026,1
Product 10,1/31/2026,1
Product 11,1/31/2026,1
Product 12,1/31/2026,1
Product 13,1/31/2026,1
Product 14,1/31/2026,1
Product 15,1/31/2026,2
Product 16,1/31/2026,1
Product 17,1/31/2026,1
Product 18,1/31/2026,1
Product 19,1/31/2026,1
Product 20,1/31/2026,1
Product 21,1/31/2026,1
Product 22,1/31/2026,1
Product 23,1/31/2026,1
Product 24,1/31/2026,2
Product 25,1/31/2026,1
Product 26,1/31/2026,1
Product 27,1/31/2026,1
Product 28,1/31/2026,1
Product 29,1/31/2026,1
Product 30,1/31/2026,1
Product 31,1/31/2026,1
Product 32,1/31/2026,3
Product 33,1/31/2026,1
Product 34,1/31/2026,2
Product 35,1/31/2026,2
Product 36,1/31/2026,2
Product 37,1/31/2026,1
Product 38,1/31/2026,2
Product 39,1/31/2026,1
Product 40,1/31/2026,1
Product 41,1/31/2026,1
Product 42,1/31/2026,1
Product 43,1/31/2026,1
Product 44,1/31/2026,1
Product 45,1/31/2026,1
Product 46,1/31/2026,1
Product 47,1/31/2026,1
Product 48,1/31/2026,1
Product 49,1/31/2026,1
Product 50,1/31/2026,1
Product 51,1/31/2026,1
Product 52,1/31/2026,1
Product 53,1/31/2026,1
Product 54,1/31/2026,1
Product 55,1/31/2026,1
Product 56,1/31/2026,1
Product 57,1/31/2026,1
Product 58,1/31/2026,1
Product 59,1/31/2026,1
Product 60,1/31/2026,1
Product 61,1/31/2026,1
Product 62,1/31/2026,2
Product 63,1/31/2026,1
Product 64,1/31/2026,1
Product 65,1/31/2026,1
Product 66,1/31/2026,3
Product 67,1/31/2026,1
Product 68,1/31/2026,1
Product 69,1/31/2026,1
Product 70,1/31/2026,1
Product 71,1/31/2026,1
Product 72,1/31/2026,1
Product 73,1/31/2026,1
Product 74,1/31/2026,1
Product 75,1/31/2026,4
Product 76,1/31/2026,7
Product 77,1/31/2026,1
Product 78,1/31/2026,1
Product 79,1/31/2026,1
Product 80,1/31/2026,1
Product 81,1/31/2026,1
Product 82,1/31/2026,1
Product 83,1/31/2026,1
Product 84,1/31/2026,1
Product 85,1/31/2026,1
Product 86,1/31/2026,2
Product 87,1/31/2026,2
Product 88,1/31/2026,1
Product 89,1/31/2026,2
Product 90,1/31/2026,1
Product 91,1/31/2026,1
Product 92,1/31/2026,1
Product 93,1/31/2026,1
Product 94,1/31/2026,2
Product 95,1/31/2026,1
Product 96,1/31/2026,1
Product 97,1/31/2026,1
Product 98,1/31/2026,1
Product 99,1/31/2026,1
Product 100,1/31/2026,1
Product 101,1/31/2026,1
Product 102,1/31/2026,1
Product 103,1/31/2026,1
Product 104,1/31/2026,1
Product 105,1/31/2026,1
Product 106,1/31/2026,1
Product 107,1/31/2026,1
Product 108,1/31/2026,1
Product 109,1/31/2026,2
Product 110,1/31/2026,1
Product 111,1/31/2026,1
Product 112,1/31/2026,1
Product 113,1/31/2026,2
Product 114,1/31/2026,1
Product 115,1/31/2026,1
Product 116,1/31/2026,1
Product 117,1/31/2026,1
Product 118,1/31/2026,1
Product 119,1/31/2026,2
Product 120,1/31/2026,1
Product 121,1/31/2026,1
Product 122,1/31/2026,1
Product 123,1/31/2026,1
Product 124,1/31/2026,1
Product 125,1/31/2026,1
Product 126,1/31/2026,1
Product 127,1/31/2026,1
Product 128,1/31/2026,1
Product 129,1/31/2026,1
Product 130,1/31/2026,1
Product 131,1/31/2026,1
Product 132,1/31/2026,1
Product 133,1/31/2026,2
Product 134,1/31/2026,1
Product 135,1/31/2026,1
Product 136,1/31/2026,1
Product 137,1/31/2026,2
Product 138,1/31/2026,2
Product 139,1/31/2026,1
Product 140,1/31/2026,1
Product 141,1/31/2026,1
Product 142,1/31/2026,1
Product 143,1/31/2026,1
Product 144,1/31/2026,1
Product 145,1/31/2026,1
Product 146,1/31/2026,1
Product 147,1/31/2026,1
Product 148,1/31/2026,1
Product 149,1/31/2026,1
Product 150,1/31/2026,3
Product 151,1/31/2026,7
Product 152,1/31/2026,4
Product 153,1/31/2026,2
Product 154,1/31/2026,1
Product 155,1/31/2026,2
Product 66,1/31/2026,3
Product 156,1/31/2026,1
Product 157,1/31/2026,1
Product 158,1/31/2026,1
Product 159,1/31/2026,4
Product 160,1/31/2026,1
Product 161,1/31/2026,1
Product 162,1/31/2026,1
Product 163,1/31/2026,1
Product 164,1/31/2026,2
Product 2,1/31/2026,1
Product 116,1/31/2026,1
Product 165,1/31/2026,1
Product 166,1/31/2026,1
Product 167,1/31/2026,1
Product 168,1/31/2026,1
Product 169,1/31/2026,1
Product 170,1/31/2026,2
Product 171,1/31/2026,1
Product 172,1/31/2026,1
Product 173,1/31/2026,1
Product 174,1/31/2026,1
Product 175,1/31/2026,1
Product 176,1/31/2026,1
Product 177,1/31/2026,1
Product 178,1/31/2026,1
Product 179,1/31/2026,1
Product 180,1/31/2026,1
Product 181,1/31/2026,1
Product 182,1/31/2026,1
Product 183,1/31/2026,5
Product 184,1/31/2026,2
Product 185,1/31/2026,3
Product 186,1/31/2026,1
Product 187,1/31/2026,1
Product 188,1/31/2026,1
Product 189,1/31/2026,1
Product 190,1/31/2026,3
Product 191,1/31/2026,1
Product 192,1/31/2026,1
Product 193,1/31/2026,1
Product 194,1/31/2026,1
Product 195,1/31/2026,1
Product 196,1/31/2026,1
Product 197,1/31/2026,1
Product 198,1/31/2026,1
Product 199,1/31/2026,1
Product 200,1/31/2026,1
Product 38,1/31/2026,1
Product 168,1/31/2026,1
Product 201,1/31/2026,1
Product 202,1/31/2026,1
Product 203,1/31/2026,2
Product 204,1/31/2026,1
Product 205,1/31/2026,1
Product 206,1/31/2026,1
Product 207,1/31/2026,1
Product 208,1/31/2026,1
Product 209,1/31/2026,1
Product 210,1/31/2026,1
Product 211,1/31/2026,1
Product 212,1/31/2026,1
Product 213,1/31/2026,1
Product 137,1/31/2026,1
Product 214,1/31/2026,1
Product 215,1/31/2026,1
Product 35,1/31/2026,1
Product 216,1/31/2026,2
Product 217,1/31/2026,2
Product 218,1/31/2026,8
Product 219,1/31/2026,1
Product 220,1/31/2026,2
Product 221,1/31/2026,16
Product 222,1/31/2026,4
Product 223,1/31/2026,2
Product 224,1/31/2026,-2
Product 225,1/31/2026,1
Product 226,1/31/2026,1
Product 227,1/31/2026,1
Product 228,1/31/2026,1
Product 229,1/31/2026,1
Product 230,1/31/2026,1
Product 11,1/31/2026,2
Product 231,1/31/2026,1
Product 232,1/31/2026,1
Product 171,1/31/2026,1
Product 233,1/31/2026,1
Product 234,1/31/2026,1
Product 235,1/31/2026,1
Product 236,1/31/2026,1
Product 237,1/31/2026,1
Product 238,1/31/2026,1
Product 239,1/31/2026,2
Product 240,1/31/2026,1
Product 241,1/31/2026,1
Product 242,1/31/2026,1
Product 243,1/31/2026,1
Product 244,1/31/2026,1
Product 245,1/31/2026,1
Product 246,1/31/2026,1
Product 178,1/31/2026,1
Product 247,1/31/2026,1
Product 137,1/31/2026,6
Product 248,1/31/2026,8
Product 249,1/31/2026,6
Product 250,1/31/2026,1
Product 251,1/31/2026,1
Product 252,1/31/2026,1
Product 253,1/31/2026,1
Product 254,1/31/2026,1
Product 255,1/31/2026,1
Product 256,1/31/2026,1
Product 257,1/31/2026,1
Product 8,1/31/2026,1
Product 258,1/31/2026,2
Product 259,1/31/2026,1
Product 260,1/31/2026,1
Product 261,1/31/2026,1
Product 66,1/31/2026,1
Product 262,1/31/2026,1
Product 263,1/31/2026,1
Product 264,1/31/2026,4
Product 265,1/31/2026,2
Product 266,1/31/2026,2
Product 267,1/31/2026,1
Product 268,1/31/2026,1
Product 269,1/31/2026,1
Product 270,1/31/2026,1
Product 271,1/31/2026,2
Product 272,1/31/2026,1
Product 78,1/31/2026,1
Product 273,1/31/2026,1
Product 274,1/31/2026,1
Product 275,1/31/2026,1
