sku,date,total_sold_qty
Product 1,4/9/2026,1
Product 2,4/9/2026,1
Product 3,4/9/2026,2
Product 4,4/9/2026,1
Product 5,4/9/2026,1
Product 6,4/9/2026,1
Product 7,4/9/2026,1
Product 8,4/9/2026,1
Product 9,4/9/2026,1
Product 10,4/9/2026,1
Product 11,4/9/2026,1
Product 12,4/9/2026,1
Product 13,4/9/2026,2
Product 14,4/9/2026,1
Product 15,4/9/2026,1
Product 16,4/9/2026,1
Product 17,4/9/2026,1
Product 18,4/9/2026,1
Product 19,4/9/2026,1
Product 20,4/9/2026,1
Product 21,4/9/2026,2
Product 22,4/9/2026,2
Product 23,4/9/2026,1
Product 24,4/9/2026,2
Product 25,4/9/2026,1
Product 26,4/9/2026,1
Product 27,4/9/2026,1
Product 28,4/9/2026,1
Product 29,4/9/2026,1
Product 30,4/9/2026,1
Product 24,4/9/2026,1
Product 24,4/9/2026,2
Product 31,4/9/2026,1
Product 32,4/9/2026,1
Product 33,4/9/2026,1
Product 34,4/9/2026,1
Product 35,4/9/2026,1
Product 36,4/9/2026,1
Product 37,4/9/2026,1
Product 38,4/9/2026,1
Product 39,4/9/2026,1
Product 40,4/9/2026,2
Product 41,4/9/2026,1
Product 42,4/9/2026,1
Product 43,4/9/2026,3
Product 44,4/9/2026,1
Product 45,4/9/2026,3
Product 46,4/9/2026,2
Product 47,4/9/2026,1
Product 48,4/9/2026,1
Product 49,4/9/2026,1
Product 50,4/9/2026,1
Product 51,4/9/2026,1
Product 52,4/9/2026,1
Product 53,4/9/2026,2
Product 54,4/9/2026,1
Product 55,4/9/2026,1
Product 56,4/9/2026,1
Product 57,4/9/2026,1
Product 58,4/9/2026,1
Product 59,4/9/2026,1
Product 60,4/9/2026,1
Product 61,4/9/2026,1
Product 62,4/9/2026,1
Product 63,4/9/2026,1
Product 64,4/9/2026,2
Product 65,4/9/2026,1
Product 66,4/9/2026,1
Product 67,4/9/2026,1
Product 68,4/9/2026,1
Product 69,4/9/2026,1
Product 70,4/9/2026,1
Product 71,4/9/2026,1
Product 72,4/9/2026,1
Product 73,4/9/2026,1
Product 74,4/9/2026,1
Product 75,4/9/2026,1
Product 76,4/9/2026,1
Product 77,4/9/2026,2
Product 78,4/9/2026,1
Product 79,4/9/2026,1
Product 80,4/9/2026,2
Product 81,4/9/2026,2
Product 9,4/9/2026,2
Product 82,4/9/2026,6
Product 83,4/9/2026,1
Product 84,4/9/2026,1
Product 85,4/9/2026,8
Product 86,4/9/2026,3
Product 87,4/9/2026,1
Product 88,4/9/2026,1
Product 89,4/9/2026,1
Product 90,4/9/2026,1
Product 91,4/9/2026,1
Product 92,4/9/2026,1
Product 93,4/9/2026,2
Product 94,4/9/2026,1
Product 95,4/9/2026,1
Product 96,4/9/2026,1
Product 97,4/9/2026,1
Product 98,4/9/2026,1
Product 99,4/9/2026,1
Product 100,4/9/2026,1
Product 101,4/9/2026,1
Product 102,4/9/2026,1
Product 103,4/9/2026,1
Product 104,4/9/2026,1
Product 105,4/9/2026,1
Product 106,4/9/2026,1
Product 107,4/9/2026,1
Product 108,4/9/2026,1
Product 35,4/9/2026,1
Product 109,4/9/2026,2
Product 110,4/9/2026,1
Product 111,4/9/2026,1
Product 112,4/9/2026,1
Product 113,4/9/2026,1
Product 114,4/9/2026,1
Product 115,4/9/2026,1
Product 116,4/9/2026,1
Product 117,4/9/2026,1
Product 118,4/9/2026,1
Product 119,4/9/2026,1
Product 120,4/9/2026,1
Product 55,4/9/2026,1
Product 121,4/9/2026,1
Product 122,4/9/2026,3
Product 123,4/9/2026,1
Product 124,4/9/2026,2
Product 125,4/9/2026,1
Product 126,4/9/2026,2
Product 34,4/9/2026,1
Product 127,4/9/2026,2
Product 128,4/9/2026,3
Product 129,4/9/2026,1
Product 86,4/9/2026,1
Product 130,4/9/2026,4
Product 126,4/9/2026,1
Product 131,4/9/2026,1
Product 132,4/9/2026,2
Product 133,4/9/2026,1
Product 134,4/9/2026,1
Product 135,4/9/2026,1
Product 136,4/9/2026,1
Product 137,4/9/2026,1
Product 138,4/9/2026,1
Product 35,4/9/2026,1
Product 139,4/9/2026,1
Product 140,4/9/2026,1
Product 141,4/9/2026,2
Product 142,4/9/2026,1
Product 143,4/9/2026,1
Product 144,4/9/2026,2
Product 145,4/9/2026,1
Product 146,4/9/2026,1
Product 147,4/9/2026,1
Product 148,4/9/2026,1
Product 149,4/9/2026,1
Product 150,4/9/2026,1
Product 151,4/9/2026,1
Product 152,4/9/2026,1
Product 153,4/9/2026,2
Product 154,4/9/2026,1
Product 155,4/9/2026,1
Product 156,4/9/2026,1
Product 157,4/9/2026,2
Product 158,4/9/2026,1
Product 159,4/9/2026,1
Product 160,4/9/2026,1
Product 161,4/9/2026,1
Product 162,4/9/2026,1
Product 163,4/9/2026,1
Product 164,4/9/2026,1
Product 165,4/9/2026,1
Product 166,4/9/2026,1
Product 93,4/9/2026,1
Product 167,4/9/2026,4
Product 168,4/9/2026,1
Product 169,4/9/2026,7
Product 170,4/9/2026,5
Product 171,4/9/2026,1
Product 172,4/9/2026,1
Product 173,4/9/2026,1
Product 174,4/9/2026,1
Product 175,4/9/2026,1
Product 176,4/9/2026,1
Product 177,4/9/2026,1
Product 93,4/9/2026,1
Product 29,4/9/2026,2
Product 178,4/9/2026,2
Product 179,4/9/2026,1
Product 180,4/9/2026,1
Product 181,4/9/2026,1
Product 182,4/9/2026,1
Product 183,4/9/2026,1
Product 184,4/9/2026,1
Product 185,4/9/2026,2
Product 186,4/9/2026,1
Product 187,4/9/2026,1
Product 188,4/9/2026,1
Product 189,4/9/2026,2
Product 190,4/9/2026,1
Product 191,4/9/2026,1
Product 192,4/9/2026,1
Product 193,4/9/2026,1
Product 194,4/9/2026,1
Product 195,4/9/2026,1
Product 196,4/9/2026,1
Product 197,4/9/2026,2
Product 198,4/9/2026,1
Product 199,4/9/2026,1
Product 200,4/9/2026,1
Product 201,4/9/2026,1
Product 202,4/9/2026,1
Product 203,4/9/2026,1
Product 86,4/9/2026,1
Product 204,4/9/2026,1
Product 205,4/9/2026,1
Product 206,4/9/2026,1
Product 207,4/9/2026,1
Product 208,4/9/2026,1
Product 209,4/9/2026,1
Product 210,4/9/2026,2
Product 211,4/9/2026,2
Product 212,4/9/2026,1
Product 213,4/9/2026,2
Product 214,4/9/2026,1
Product 215,4/9/2026,1
Product 216,4/9/2026,1
Product 217,4/9/2026,1
Product 218,4/9/2026,1
Product 177,4/9/2026,1
Product 219,4/9/2026,1
Product 220,4/9/2026,1
Product 221,4/9/2026,1
Product 222,4/9/2026,1
Product 223,4/9/2026,4
Product 224,4/9/2026,2
Product 157,4/9/2026,3
Product 225,4/9/2026,1
Product 226,4/9/2026,1
Product 227,4/9/2026,1
Product 228,4/9/2026,1
Product 229,4/9/2026,1
Product 230,4/9/2026,1
Product 231,4/9/2026,1
Product 232,4/9/2026,1
Product 233,4/9/2026,1
Product 234,4/9/2026,1
Product 235,4/9/2026,1
Product 236,4/9/2026,1
Product 237,4/9/2026,1
Product 238,4/9/2026,2
Product 239,4/9/2026,1
Product 240,4/9/2026,1
Product 241,4/9/2026,1
Product 242,4/9/2026,1
Product 157,4/9/2026,1
Product 243,4/9/2026,1
Product 244,4/9/2026,1
Product 245,4/9/2026,5
Product 246,4/9/2026,1
Product 247,4/9/2026,1
Product 248,4/9/2026,1
Product 249,4/9/2026,1
Product 250,4/9/2026,1
Product 251,4/9/2026,1
Product 252,4/9/2026,1
Product 159,4/9/2026,1
Product 253,4/9/2026,2
Product 70,4/9/2026,1
Product 254,4/9/2026,1
Product 255,4/9/2026,1
Product 256,4/9/2026,1
Product 257,4/9/2026,1
Product 258,4/9/2026,1
Product 259,4/9/2026,2
Product 260,4/9/2026,1
Product 261,4/9/2026,1
Product 262,4/9/2026,1
Product 263,4/9/2026,1
Product 264,4/9/2026,1
Product 265,4/9/2026,1
Product 266,4/9/2026,1
Product 267,4/9/2026,1
Product 268,4/9/2026,1
Product 269,4/9/2026,1
Product 270,4/9/2026,2
Product 271,4/9/2026,1
Product 272,4/9/2026,1
Product 273,4/9/2026,1
Product 274,4/9/2026,1
Product 275,4/9/2026,1
Product 276,4/9/2026,1
Product 277,4/9/2026,1
Product 278,4/9/2026,1
Product 279,4/9/2026,1
Product 280,4/9/2026,1
Product 281,4/9/2026,1
Product 282,4/9/2026,1
Product 283,4/9/2026,1
Product 284,4/9/2026,1
Product 285,4/9/2026,1
Product 286,4/8/2026,1
Product 287,4/8/2026,1
Product 288,4/8/2026,1
Product 70,4/8/2026,1
Product 289,4/8/2026,1
Product 290,4/8/2026,2
Product 1,4/8/2026,1
Product 19,4/8/2026,1
Product 291,4/8/2026,1
Product 132,4/8/2026,1
Product 292,4/8/2026,6
Product 13,4/8/2026,1
Product 293,4/8/2026,1
Product 19,4/8/2026,2
Product 294,4/8/2026,1
Product 26,4/8/2026,1
Product 295,4/8/2026,1
Product 296,4/8/2026,1
Product 13,4/8/2026,1
Product 24,4/8/2026,2
Product 297,4/8/2026,2
Product 298,4/8/2026,1
Product 299,4/8/2026,1
Product 300,4/8/2026,0
Product 301,4/8/2026,1
Product 302,4/8/2026,1
Product 303,4/8/2026,1
Product 304,4/8/2026,1
Product 305,4/8/2026,1
Product 306,4/8/2026,1
Product 307,4/8/2026,1
Product 308,4/8/2026,1
Product 309,4/8/2026,1
Product 86,4/8/2026,1
Product 310,4/8/2026,1
Product 261,4/8/2026,1
Product 311,4/8/2026,1
Product 312,4/8/2026,1
Product 313,4/8/2026,1
Product 314,4/8/2026,2
Product 315,4/8/2026,1
Product 316,4/8/2026,2
Product 67,4/8/2026,2
Product 317,4/8/2026,1
Product 318,4/8/2026,1
Product 319,4/8/2026,1
Product 320,4/8/2026,1
Product 321,4/8/2026,1
Product 322,4/8/2026,1
Product 323,4/8/2026,1
Product 324,4/8/2026,1
Product 325,4/8/2026,1
Product 326,4/8/2026,2
Product 327,4/8/2026,1
Product 328,4/8/2026,1
Product 329,4/8/2026,1
Product 330,4/8/2026,1
Product 331,4/8/2026,1
Product 161,4/8/2026,1
Product 86,4/8/2026,2
Product 332,4/8/2026,1
Product 333,4/8/2026,1
Product 334,4/8/2026,1
Product 93,4/8/2026,2
Product 335,4/8/2026,3
Product 336,4/8/2026,1
Product 13,4/8/2026,1
Product 337,4/8/2026,1
Product 338,4/8/2026,2
Product 339,4/8/2026,1
Product 340,4/8/2026,1
Product 341,4/8/2026,1
Product 29,4/8/2026,1
Product 342,4/8/2026,1
Product 49,4/8/2026,1
Product 343,4/8/2026,1
Product 92,4/8/2026,3
Product 344,4/8/2026,1
Product 345,4/8/2026,1
Product 346,4/8/2026,1
Product 347,4/8/2026,1
Product 348,4/8/2026,1
Product 349,4/8/2026,1
Product 350,4/8/2026,1
Product 351,4/8/2026,1
Product 352,4/8/2026,1
Product 353,4/8/2026,1
Product 354,4/8/2026,1
Product 93,4/8/2026,1
Product 355,4/8/2026,1
Product 356,4/8/2026,1
Product 357,4/8/2026,1
Product 358,4/8/2026,1
Product 359,4/8/2026,1
Product 360,4/8/2026,1
Product 361,4/8/2026,1
Product 362,4/8/2026,1
Product 363,4/8/2026,1
Product 364,4/8/2026,1
Product 365,4/8/2026,1
Product 366,4/8/2026,1
Product 367,4/8/2026,2
Product 368,4/8/2026,1
Product 369,4/8/2026,1
Product 370,4/8/2026,1
Product 371,4/8/2026,1
Product 372,4/8/2026,1
Product 373,4/8/2026,1
Product 79,4/8/2026,1
Product 374,4/8/2026,1
Product 375,4/8/2026,1
Product 376,4/8/2026,1
Product 377,4/8/2026,1
Product 378,4/8/2026,1
Product 35,4/8/2026,2
Product 209,4/8/2026,1
Product 379,4/8/2026,2
Product 380,4/8/2026,1
Product 381,4/8/2026,1
Product 382,4/8/2026,1
Product 383,4/8/2026,1
Product 384,4/8/2026,1
Product 385,4/8/2026,1
Product 386,4/8/2026,1
Product 387,4/8/2026,1
Product 388,4/8/2026,1
Product 389,4/8/2026,1
Product 390,4/8/2026,1
Product 391,4/8/2026,1
Product 392,4/8/2026,1
Product 393,4/8/2026,1
Product 394,4/8/2026,1
Product 146,4/8/2026,1
Product 395,4/8/2026,1
Product 396,4/8/2026,1
Product 397,4/8/2026,1
Product 351,4/8/2026,1
Product 398,4/8/2026,1
Product 356,4/8/2026,1
Product 399,4/8/2026,2
Product 400,4/8/2026,2
Product 401,4/8/2026,1
Product 402,4/8/2026,1
Product 403,4/8/2026,1
Product 404,4/8/2026,1
Product 405,4/8/2026,2
Product 406,4/8/2026,1
Product 407,4/8/2026,1
Product 408,4/8/2026,1
Product 409,4/8/2026,1
Product 410,4/8/2026,1
Product 411,4/8/2026,1
Product 412,4/8/2026,1
Product 413,4/8/2026,1
Product 414,4/8/2026,1
Product 415,4/8/2026,1
Product 416,4/8/2026,1
Product 417,4/8/2026,1
Product 418,4/8/2026,1
Product 419,4/8/2026,1
Product 420,4/8/2026,1
Product 421,4/8/2026,1
Product 422,4/8/2026,2
Product 35,4/8/2026,1
Product 423,4/8/2026,1
Product 424,4/8/2026,1
Product 425,4/8/2026,1
Product 426,4/8/2026,1
Product 158,4/8/2026,1
Product 182,4/8/2026,1
Product 427,4/8/2026,1
Product 428,4/8/2026,2
Product 429,4/8/2026,2
Product 430,4/8/2026,1
Product 431,4/8/2026,1
Product 432,4/8/2026,1
Product 433,4/8/2026,1
Product 434,4/8/2026,1
Product 435,4/8/2026,1
Product 436,4/8/2026,1
Product 437,4/8/2026,1
Product 438,4/8/2026,1
Product 439,4/8/2026,1
Product 440,4/8/2026,1
Product 441,4/8/2026,1
Product 442,4/8/2026,1
Product 443,4/8/2026,1
Product 444,4/8/2026,1
Product 445,4/8/2026,1
Product 93,4/8/2026,1
Product 446,4/8/2026,1
Product 447,4/8/2026,2
Product 448,4/8/2026,1
Product 35,4/8/2026,2
Product 449,4/8/2026,1
Product 450,4/8/2026,3
Product 451,4/8/2026,4
Product 452,4/8/2026,3
Product 453,4/8/2026,3
Product 454,4/8/2026,5
Product 455,4/8/2026,5
Product 456,4/8/2026,1
Product 457,4/8/2026,1
Product 458,4/8/2026,1
Product 459,4/8/2026,1
Product 460,4/8/2026,1
Product 461,4/8/2026,2
Product 462,4/8/2026,2
Product 379,4/8/2026,1
Product 463,4/8/2026,2
Product 464,4/8/2026,1
Product 112,4/8/2026,1
Product 465,4/8/2026,1
Product 466,4/8/2026,1
Product 467,4/8/2026,1
Product 468,4/8/2026,1
Product 469,4/8/2026,1
Product 470,4/8/2026,1
Product 471,4/8/2026,1
Product 472,4/8/2026,1
Product 473,4/8/2026,1
Product 474,4/8/2026,1
Product 475,4/8/2026,1
Product 474,4/8/2026,1
Product 476,4/8/2026,1
Product 477,4/8/2026,1
Product 278,4/8/2026,1
Product 478,4/8/2026,1
Product 230,4/8/2026,1
Product 479,4/8/2026,1
Product 36,4/8/2026,1
Product 480,4/8/2026,1
Product 481,4/8/2026,1
Product 482,4/8/2026,1
Product 483,4/8/2026,1
Product 15,4/8/2026,1
Product 484,4/8/2026,2
Product 13,4/8/2026,1
Product 485,4/8/2026,6
Product 157,4/8/2026,1
Product 486,4/8/2026,1
Product 487,4/8/2026,1
Product 488,4/8/2026,1
Product 489,4/8/2026,2
Product 490,4/8/2026,1
Product 491,4/8/2026,1
Product 492,4/8/2026,1
Product 493,4/8/2026,1
Product 494,4/8/2026,1
Product 495,4/8/2026,1
Product 496,4/8/2026,1
Product 496,4/8/2026,2
Product 497,4/8/2026,1
Product 498,4/8/2026,2
Product 499,4/8/2026,1
Product 500,4/8/2026,1
Product 501,4/8/2026,1
Product 249,4/8/2026,1
Product 502,4/8/2026,1
Product 503,4/8/2026,1
Product 504,4/8/2026,1
Product 252,4/8/2026,1
Product 505,4/8/2026,1
Product 506,4/8/2026,1
Product 507,4/8/2026,1
Product 508,4/8/2026,1
Product 509,4/8/2026,1
Product 510,4/8/2026,1
Product 511,4/8/2026,3
Product 512,4/8/2026,1
Product 70,4/8/2026,1
Product 513,4/8/2026,1
Product 514,4/8/2026,1
Product 515,4/8/2026,1
Product 516,4/8/2026,1
Product 517,4/8/2026,2
Product 518,4/8/2026,1
Product 463,4/8/2026,2
Product 519,4/8/2026,1
Product 520,4/8/2026,1
Product 521,4/8/2026,4
Product 522,4/8/2026,1
Product 523,4/8/2026,1
